LAST SEEN             TYPE      REASON                   OBJECT                                  MESSAGE
57m                   Normal    Pulled                   Pod/cilium-r754d                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-r754d                        Created container apply-sysctl-overwrites
57m                   Normal    Created                  Pod/cilium-9qvc6                        Created container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-9qvc6                        Started container mount-bpf-fs
57m                   Normal    Pulled                   Pod/cilium-9qvc6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-9qvc6                        Created container clean-cilium-state
57m                   Normal    Started                  Pod/cilium-9qvc6                        Started container clean-cilium-state
57m                   Normal    Started                  Pod/cilium-qrt92                        Started container clean-cilium-state
57m                   Normal    Created                  Pod/cilium-qrt92                        Created container clean-cilium-state
57m                   Normal    Pulled                   Pod/cilium-qrt92                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-r754d                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-r754d                        Created container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-r754d                        Started container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-2hgp6                        Started container mount-bpf-fs
57m                   Normal    Created                  Pod/cilium-2hgp6                        Created container mount-bpf-fs
57m                   Normal    Pulled                   Pod/cilium-2hgp6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-g8nx9                        Started container clean-cilium-state
57m                   Normal    Created                  Pod/cilium-g8nx9                        Created container clean-cilium-state
57m                   Normal    Started                  Pod/cilium-8f5jf                        Started container clean-cilium-state
57m                   Normal    Created                  Pod/cilium-8f5jf                        Created container clean-cilium-state
57m                   Normal    Pulled                   Pod/cilium-8f5jf                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-b54lh                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-b54lh                        Created container clean-cilium-state
57m                   Normal    Started                  Pod/cilium-b54lh                        Started container clean-cilium-state
57m                   Normal    Pulled                   Pod/cilium-g8nx9                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
